Education|Income|Customer_For|Age|AmountSpent|Children|Family_Size|Is_Parent|TotalAcceptedCmp|NumTotalPurchases
1|58138.0|57283200000000000|67|1617|0|1|0|1|25
1|46344.0|9763200000000000|70|27|2|3|1|0|6
1|71613.0|26956800000000000|59|776|0|2|0|0|21
1|26646.0|12009600000000000|40|53|1|3|1|0|8
0|58293.0|13910400000000000|43|422|1|3|1|0|19
0|62513.0|25315200000000000|57|716|1|3|1|0|22
1|55635.0|51235200000000000|53|590|1|2|1|0|21
0|33454.0|36028800000000000|39|169|1|3|1|0|10
0|30351.0|33523200000000000|50|46|1|3|1|1|6
0|5648.0|9331200000000000|74|49|2|4|1|1|2
1|7500.0|51235200000000000|48|61|0|2|0|0|6
1|63033.0|19526400000000000|65|1102|0|1|0|0|16
0|59354.0|19526400000000000|72|310|2|3|1|0|15
1|17323.0|54172800000000000|37|46|0|2|0|0|5
0|82800.0|50284800000000000|78|1315|0|1|0|3|26
1|41850.0|47692800000000000|44|96|2|4|1|0|9
1|37760.0|57628800000000000|78|317|0|2|0|0|13
0|76995.0|39571200000000000|75|1782|1|3|1|1|26
0|33812.0|52099200000000000|39|133|1|2|1|0|8
1|37040.0|59616000000000000|42|316|0|2|0|0|12
1|2447.0|46569600000000000|45|1730|1|3|1|0|43
0|58607.0|47779200000000000|75|972|1|3|1|1|17
0|65324.0|14601600000000000|70|544|1|3|1|0|20
1|40689.0|40435200000000000|73|444|1|3|1|0|20
1|18589.0|46915200000000000|55|75|0|1|0|0|8
1|53359.0|34387200000000000|48|257|2|4|1|0|14
1|38360.0|34041600000000000|35|131|1|3|1|0|9
0|84618.0|18921600000000000|59|1672|0|2|0|1|26
0|10979.0|3283200000000000|35|30|0|1|0|0|8
0|38620.0|35769600000000000|61|318|0|2|0|0|11
1|40548.0|54172800000000000|54|120|1|3|1|1|9
0|46610.0|52531200000000000|72|302|2|3|1|1|17
0|68657.0|42681600000000000|78|1196|0|2|0|0|18
0|49389.0|26265600000000000|73|65|2|3|1|0|6
0|67353.0|15552000000000000|54|913|1|3|1|0|28
0|23718.0|25920000000000000|48|81|1|3|1|0|9
1|42429.0|11923200000000000|51|67|1|2|1|0|7
0|48948.0|44323200000000000|81|902|0|1|0|2|24
1|80011.0|36806400000000000|44|1395|1|3|1|0|21
0|20559.0|40953600000000000|39|53|1|3|1|0|7
1|21994.0|47692800000000000|67|22|1|3|1|0|4
0|7500.0|23328000000000000|49|31|1|3|1|0|8
1|79941.0|86400000000000|48|984|0|1|0|0|16
0|7500.0|51580800000000000|28|122|0|2|0|1|10
1|41728.0|34646400000000000|56|55|1|3|1|0|5
0|72550.0|51667200000000000|70|1319|2|4|1|0|28
1|65486.0|4147200000000000|67|507|1|2|1|0|17
0|79143.0|59356800000000000|60|1693|0|2|0|0|29
1|35790.0|46915200000000000|47|72|1|2|1|0|7
1|82582.0|1900800000000000|47|1617|0|1|0|3|21
1|66373.0|33004800000000000|46|606|2|4|1|0|23
0|82384.0|50716800000000000|69|1957|0|2|0|2|27
1|70287.0|39139200000000000|58|1093|0|1|0|1|21
1|27938.0|5356800000000000|36|29|1|2|1|0|6
0|55954.0|10195200000000000|56|518|1|3|1|0|19
0|75777.0|31104000000000000|42|1438|0|1|0|3|21
1|66653.0|57024000000000000|49|612|2|4|1|0|22
1|61823.0|42854400000000000|72|884|1|2|1|0|24
0|67680.0|33091200000000000|73|606|1|2|1|0|19
1|70666.0|17712000000000000|76|1076|0|2|0|0|16
1|25721.0|34905600000000000|53|34|1|3|1|1|5
1|32474.0|4233600000000000|57|11|2|4|1|0|4
0|88194.0|8812800000000000|45|1274|1|2|1|3|32
1|69096.0|23760000000000000|66|653|1|3|1|0|18
1|74854.0|38620800000000000|54|1562|3|5|1|0|19
0|66991.0|56678400000000000|70|1253|0|2|0|0|21
1|65031.0|40521600000000000|65|863|1|3|1|0|30
0|60631.0|38880000000000000|49|661|2|4|1|1|24
1|28332.0|5184000000000000|72|65|0|2|0|0|8
1|40246.0|48124800000000000|47|13|1|2|1|0|4
0|75251.0|57974400000000000|52|1890|0|2|0|1|19
1|75825.0|54000000000000000|48|2209|0|1|0|2|22
0|26326.0|25747200000000000|48|18|0|2|0|0|4
1|56046.0|46915200000000000|59|692|0|2|0|2|21
1|29760.0|57801600000000000|39|165|1|2|1|0|12
1|26304.0|32054400000000000|55|16|1|3|1|0|4
0|23559.0|31190400000000000|51|79|1|3|1|0|9
0|38620.0|35769600000000000|61|318|0|2|0|0|11
1|81361.0|10713600000000000|37|778|0|1|0|0|27
1|29440.0|27820800000000000|64|56|2|4|1|0|7
0|36138.0|30067200000000000|54|151|2|4|1|1|13
1|50388.0|2764800000000000|67|372|1|2|1|3|17
1|79593.0|4147200000000000|51|1366|0|2|0|1|19
1|54178.0|13737600000000000|57|194|1|3|1|0|10
0|42394.0|8467200000000000|52|32|1|2|1|0|5
0|23626.0|3110400000000000|54|43|1|3|1|0|10
1|30096.0|3283200000000000|41|45|1|3|1|0|6
1|47916.0|50457600000000000|64|606|1|2|1|1|22
1|51813.0|38361600000000000|52|63|2|3|1|0|7
0|78497.0|18144000000000000|73|978|0|2|0|1|25
0|50150.0|32313600000000000|41|410|0|2|0|0|16
0|47823.0|29462400000000000|64|72|1|2|1|0|7
0|34554.0|7862400000000000|65|55|1|2|1|0|7
1|85693.0|37584000000000000|45|1169|1|3|1|0|27
0|65846.0|35251200000000000|79|1120|0|2|0|0|16
1|87195.0|4492800000000000|65|1097|0|2|0|1|20
1|24594.0|17366400000000000|45|29|1|3|1|0|5
1|49096.0|24019200000000000|60|187|2|4|1|0|13
1|52413.0|44236800000000000|55|910|2|4|1|0|26
1|38557.0|48124800000000000|46|145|1|2|1|0|9
0|89058.0|49161600000000000|64|850|0|2|0|0|14
1|77298.0|20649600000000000|45|969|1|3|1|0|24
0|68126.0|51494400000000000|33|1820|0|1|0|2|17
0|57288.0|345600000000000|61|608|1|3|1|1|20
1|86037.0|46915200000000000|33|730|0|1|0|3|25
0|43974.0|48729600000000000|44|551|1|3|1|0|21
1|50785.0|25228800000000000|62|114|2|3|1|0|8
1|90765.0|13478400000000000|54|1724|0|2|0|2|15
0|36550.0|42768000000000000|46|577|1|3|1|0|20
0|30753.0|30499200000000000|57|81|2|4|1|0|7
1|21918.0|19612800000000000|55|33|1|3|1|0|7
0|56129.0|32313600000000000|71|660|1|3|1|0|22
0|32557.0|10800000000000000|57|80|1|2|1|1|9
0|19510.0|25747200000000000|39|30|2|4|1|0|6
