	Education	Income	Customer_For	Age	AmountSpent	Children	Family_Size	Is_Parent	TotalAcceptedCmp	NumTotalPurchases	Clusters
0	1	58138.0	57283200000000000	67	1617	0	1	0	1	25	0
1	1	46344.0	9763200000000000	70	27	2	3	1	0	6	1
2	1	71613.0	26956800000000000	59	776	0	2	0	0	21	2
3	1	26646.0	12009600000000000	40	53	1	3	1	0	8	1
4	0	58293.0	13910400000000000	43	422	1	3	1	0	19	3
5	0	62513.0	25315200000000000	57	716	1	3	1	0	22	3
6	1	55635.0	51235200000000000	53	590	1	2	1	0	21	3
7	0	33454.0	36028800000000000	39	169	1	3	1	0	10	1
8	0	30351.0	33523200000000000	50	46	1	3	1	1	6	1
9	0	5648.0	9331200000000000	74	49	2	4	1	1	2	1
11	1	7500.0	51235200000000000	48	61	0	2	0	0	6	2
12	1	63033.0	19526400000000000	65	1102	0	1	0	0	16	2
13	0	59354.0	19526400000000000	72	310	2	3	1	0	15	3
14	1	17323.0	54172800000000000	37	46	0	2	0	0	5	2
15	0	82800.0	50284800000000000	78	1315	0	1	0	3	26	0
16	1	41850.0	47692800000000000	44	96	2	4	1	0	9	1
17	1	37760.0	57628800000000000	78	317	0	2	0	0	13	2
18	0	76995.0	39571200000000000	75	1782	1	3	1	1	26	3
19	0	33812.0	52099200000000000	39	133	1	2	1	0	8	1
20	1	37040.0	59616000000000000	42	316	0	2	0	0	12	2
21	1	2447.0	46569600000000000	45	1730	1	3	1	0	43	3
22	0	58607.0	47779200000000000	75	972	1	3	1	1	17	3
23	0	65324.0	14601600000000000	70	544	1	3	1	0	20	3
24	1	40689.0	40435200000000000	73	444	1	3	1	0	20	3
25	1	18589.0	46915200000000000	55	75	0	1	0	0	8	2
26	1	53359.0	34387200000000000	48	257	2	4	1	0	14	1
28	1	38360.0	34041600000000000	35	131	1	3	1	0	9	1
29	0	84618.0	18921600000000000	59	1672	0	2	0	1	26	0
30	0	10979.0	3283200000000000	35	30	0	1	0	0	8	2
31	0	38620.0	35769600000000000	61	318	0	2	0	0	11	2
32	1	40548.0	54172800000000000	54	120	1	3	1	1	9	1
33	0	46610.0	52531200000000000	72	302	2	3	1	1	17	3
34	0	68657.0	42681600000000000	78	1196	0	2	0	0	18	2
35	0	49389.0	26265600000000000	73	65	2	3	1	0	6	1
36	0	67353.0	15552000000000000	54	913	1	3	1	0	28	3
37	0	23718.0	25920000000000000	48	81	1	3	1	0	9	1
38	1	42429.0	11923200000000000	51	67	1	2	1	0	7	1
39	0	48948.0	44323200000000000	81	902	0	1	0	2	24	0
40	1	80011.0	36806400000000000	44	1395	1	3	1	0	21	3
41	0	20559.0	40953600000000000	39	53	1	3	1	0	7	1
42	1	21994.0	47692800000000000	67	22	1	3	1	0	4	1
44	0	7500.0	23328000000000000	49	31	1	3	1	0	8	1
45	1	79941.0	86400000000000	48	984	0	1	0	0	16	2
46	0	7500.0	51580800000000000	28	122	0	2	0	1	10	2
47	1	41728.0	34646400000000000	56	55	1	3	1	0	5	1
49	0	72550.0	51667200000000000	70	1319	2	4	1	0	28	3
50	1	65486.0	4147200000000000	67	507	1	2	1	0	17	3
51	0	79143.0	59356800000000000	60	1693	0	2	0	0	29	2
52	1	35790.0	46915200000000000	47	72	1	2	1	0	7	1
53	1	82582.0	1900800000000000	47	1617	0	1	0	3	21	0
54	1	66373.0	33004800000000000	46	606	2	4	1	0	23	3
55	0	82384.0	50716800000000000	69	1957	0	2	0	2	27	0
56	1	70287.0	39139200000000000	58	1093	0	1	0	1	21	2
57	1	27938.0	5356800000000000	36	29	1	2	1	0	6	1
59	0	55954.0	10195200000000000	56	518	1	3	1	0	19	3
60	0	75777.0	31104000000000000	42	1438	0	1	0	3	21	0
61	1	66653.0	57024000000000000	49	612	2	4	1	0	22	3
62	1	61823.0	42854400000000000	72	884	1	2	1	0	24	3
63	0	67680.0	33091200000000000	73	606	1	2	1	0	19	3
64	1	70666.0	17712000000000000	76	1076	0	2	0	0	16	2
65	1	25721.0	34905600000000000	53	34	1	3	1	1	5	1
66	1	32474.0	4233600000000000	57	11	2	4	1	0	4	1
67	0	88194.0	8812800000000000	45	1274	1	2	1	3	32	0
68	1	69096.0	23760000000000000	66	653	1	3	1	0	18	3
69	1	74854.0	38620800000000000	54	1562	3	5	1	0	19	3
70	0	66991.0	56678400000000000	70	1253	0	2	0	0	21	2
72	1	65031.0	40521600000000000	65	863	1	3	1	0	30	3
73	0	60631.0	38880000000000000	49	661	2	4	1	1	24	3
74	1	28332.0	5184000000000000	72	65	0	2	0	0	8	2
75	1	40246.0	48124800000000000	47	13	1	2	1	0	4	1
76	0	75251.0	57974400000000000	52	1890	0	2	0	1	19	0
77	1	75825.0	54000000000000000	48	2209	0	1	0	2	22	0
78	0	26326.0	25747200000000000	48	18	0	2	0	0	4	2
79	1	56046.0	46915200000000000	59	692	0	2	0	2	21	0
80	1	29760.0	57801600000000000	39	165	1	2	1	0	12	1
81	1	26304.0	32054400000000000	55	16	1	3	1	0	4	1
82	0	23559.0	31190400000000000	51	79	1	3	1	0	9	1
83	0	38620.0	35769600000000000	61	318	0	2	0	0	11	2
84	1	81361.0	10713600000000000	37	778	0	1	0	0	27	2
85	1	29440.0	27820800000000000	64	56	2	4	1	0	7	1
86	0	36138.0	30067200000000000	54	151	2	4	1	1	13	1
87	1	50388.0	2764800000000000	67	372	1	2	1	3	17	3
88	1	79593.0	4147200000000000	51	1366	0	2	0	1	19	2
89	1	54178.0	13737600000000000	57	194	1	3	1	0	10	1
93	0	42394.0	8467200000000000	52	32	1	2	1	0	5	1
94	0	23626.0	3110400000000000	54	43	1	3	1	0	10	1
95	1	30096.0	3283200000000000	41	45	1	3	1	0	6	1
96	1	47916.0	50457600000000000	64	606	1	2	1	1	22	3
97	1	51813.0	38361600000000000	52	63	2	3	1	0	7	1
98	0	78497.0	18144000000000000	73	978	0	2	0	1	25	2
99	0	50150.0	32313600000000000	41	410	0	2	0	0	16	2
100	0	47823.0	29462400000000000	64	72	1	2	1	0	7	1
101	0	34554.0	7862400000000000	65	55	1	2	1	0	7	1
102	1	85693.0	37584000000000000	45	1169	1	3	1	0	27	3
103	0	65846.0	35251200000000000	79	1120	0	2	0	0	16	2
104	1	87195.0	4492800000000000	65	1097	0	2	0	1	20	2
105	1	24594.0	17366400000000000	45	29	1	3	1	0	5	1
106	1	49096.0	24019200000000000	60	187	2	4	1	0	13	1
107	1	52413.0	44236800000000000	55	910	2	4	1	0	26	3
108	1	38557.0	48124800000000000	46	145	1	2	1	0	9	1
109	0	89058.0	49161600000000000	64	850	0	2	0	0	14	2
110	1	77298.0	20649600000000000	45	969	1	3	1	0	24	3
111	0	68126.0	51494400000000000	33	1820	0	1	0	2	17	0
112	0	57288.0	345600000000000	61	608	1	3	1	1	20	3
113	1	86037.0	46915200000000000	33	730	0	1	0	3	25	0
114	0	43974.0	48729600000000000	44	551	1	3	1	0	21	3
115	1	50785.0	25228800000000000	62	114	2	3	1	0	8	1
116	1	90765.0	13478400000000000	54	1724	0	2	0	2	15	0
117	0	36550.0	42768000000000000	46	577	1	3	1	0	20	3
118	0	30753.0	30499200000000000	57	81	2	4	1	0	7	1
119	1	21918.0	19612800000000000	55	33	1	3	1	0	7	1
120	0	56129.0	32313600000000000	71	660	1	3	1	0	22	3
